Id,Latitude,Longitude,Region by Zipcode,Zipcode
321069,30.25407,-97.77818,South Central,78704
321636,30.27752,-97.71919,East,78702
321675,30.2509,-97.78843,South Central,78704
323733,30.26778,-97.74563,Central,78701
325889,30.24669,-97.75532,South Central,78704
327653,30.31218,-97.71745,Central,78751
329172,30.3024,-97.80719,West,78746
329306,30.27235,-97.72514,East,78702
330301,30.45096,-97.76467,North Suburbs,78729
331549,30.23911,-97.58625,Far East,78725
333114,30.36875,-97.65554,North,78754
333442,30.31293,-97.76659,Central,78703
333810,30.23193,-97.74121,South East,78741
333815,30.25333,-97.7523,South Central,78704
333856,30.25304,-97.75301,South Central,78704
333857,30.27508,-97.72995,East,78702
334554,30.2407,-97.77525,South Central,78704
334616,30.24468,-97.72442,South East,78741
335885,30.20693,-97.85641,South,78749
335945,30.24035,-97.73334,South East,78741
337149,30.256,-97.72595,East,78702
337560,30.23447,-97.76755,South Central,78704
338117,30.27374,-97.71887,East,78702
340045,30.261,-97.79197,West,78746
340630,30.33108,-97.72586,Central,78757
340710,30.25264,-97.87296,West,78735
341382,30.26496,-97.71496,East,78702
341596,30.24754,-97.75855,South Central,78704
341665,30.20962,-97.77531,South,78745
342243,30.41699,-97.7544,North Suburbs,78759
342919,30.2582,-97.72019,East,78702
343462,30.26912,-97.68767,East,78721
343889,30.27452,-97.72249,East,78702
344976,30.25035,-97.75722,South Central,78704
345221,30.27105,-97.74933,Central,78701
345473,30.24547,-97.74739,South Central,78704
345536,30.24836,-97.76186,South Central,78704
346316,30.2613,-97.78031,South Central,78704
347449,30.28226,-97.76035,Central,78703
347654,30.23618,-97.74439,South Central,78704
347736,30.26659,-97.73298,East,78702
347802,30.30232,-97.72633,Central,78751
347935,30.2521,-97.76163,South Central,78704
348771,30.21614,-97.88687,South,78749
349447,30.27875,-97.72359,East,78702
349635,30.29933,-97.77637,Central,78703
351865,30.33179,-97.64911,North,78754
352543,30.24489,-97.77263,South Central,78704
353126,30.23846,-97.74613,South Central,78704
353261,30.24336,-97.75152,South Central,78704
353955,30.34442,-97.80005,West,78746
354263,30.24782,-97.76294,South Central,78704
354334,30.24515,-97.77143,South Central,78704
354513,30.25859,-97.72983,East,78702
354569,30.28923,-97.7606,Central,78703
355176,30.22062,-97.77387,South,78745
355232,30.24803,-97.74556,South Central,78704
355328,30.23928,-97.77907,South Central,78704
355792,30.27927,-97.75422,Central,78703
356675,30.30587,-97.77132,Central,78703
356719,30.30599,-97.69641,East,78723
356837,30.2805,-97.74286,Central,78701
357472,30.25176,-97.7227,East,78702
357503,30.24981,-97.77782,South Central,78704
357529,30.2552,-97.76862,South Central,78704
358164,30.31062,-97.7184,Central,78751
358643,30.22974,-97.76657,South Central,78704
358675,30.29172,-97.83906,West,78746
359425,30.33765,-97.72982,Central,78757
359970,30.25759,-97.71779,East,78702
362460,30.31725,-97.74403,Central,78756
362525,30.22304,-97.71811,South East,78741
362662,30.2532,-97.72391,East,78702
363040,30.25456,-97.77665,South Central,78704
363944,30.25725,-97.77011,South Central,78704
364025,30.27407,-97.75345,South Central,78704
364121,30.39409,-97.91907,West,78734
364269,30.2584,-97.76881,South Central,78704
364402,30.32109,-97.71999,Central,78751
365471,30.26002,-97.73317,East,78702
366403,30.28553,-97.72017,East,78722
367356,30.30632,-97.722,Central,78751
367366,30.26526,-97.6846,East,78721
367445,30.30676,-97.72635,Central,78751
367789,30.30665,-97.77151,Central,78703
369090,30.25858,-97.75181,South Central,78704
370115,30.27368,-97.71552,East,78702
371539,30.2663,-97.7424,Central,78701
372254,30.20981,-97.77037,South,78745
375142,30.25374,-97.74519,South Central,78704
375989,30.29,-97.73064,Central,78705
377391,30.23589,-97.76997,South Central,78704
381238,30.25226,-97.74438,South Central,78704
381240,30.2524,-97.74437,South Central,78704
383689,30.2636,-97.74204,Central,78701
385602,30.16976,-97.86306,South,78739
403090,30.24658,-97.7628,South Central,78704
406911,30.25966,-97.75555,South Central,78704
412290,30.23944,-97.7535,South Central,78704
424279,30.24035,-97.7522,South Central,78704
430683,30.33945,-97.76182,West,78731
433996,30.26083,-97.77521,South Central,78704
435211,30.27132,-97.74777,Central,78701
442720,30.2994,-97.79666,West,78746
442757,30.23229,-97.69188,South East,78741
445931,30.2864,-97.75225,Central,78705
461404,30.32225,-97.7296,Central,78751
474007,30.25884,-97.76628,South Central,78704
474901,30.25201,-97.78184,South Central,78704
479197,30.25774,-97.75158,South Central,78704
485360,30.2698,-97.72854,East,78702
490139,30.22443,-97.69072,South East,78741
501861,30.25372,-97.74556,South Central,78704
508203,30.22479,-97.7246,South East,78741
509270,30.23349,-97.69347,South East,78741
509833,30.27428,-97.75716,Central,78703
510168,30.34467,-97.86235,West,78733
517378,30.20841,-97.81879,South,78745
517430,30.29884,-97.73391,Central,78705
522136,30.28004,-97.74563,Central,78701
525231,30.33962,-97.73593,Central,78757
528338,30.26164,-97.76158,South Central,78704
539839,30.22142,-97.73484,South East,78741
540377,30.24945,-97.74613,South Central,78704
541267,30.29067,-97.64235,Far East,78724
542124,30.27665,-97.71857,East,78702
560094,30.24921,-97.78566,South Central,78704
563735,30.25132,-97.79406,South Central,78704
568456,30.24348,-97.74093,South Central,78704
577499,30.25783,-97.76449,South Central,78704
585041,30.23692,-97.74599,South Central,78704
586648,30.22228,-97.73331,South East,78741
587572,30.2466,-97.76628,South Central,78704
592958,30.24321,-97.75469,South Central,78704
593102,30.31544,-97.74511,Central,78756
602877,30.35994,-97.73144,Central,78757
603084,30.20283,-97.79705,South,78745
606351,30.25158,-97.75393,South Central,78704
607536,30.30267,-97.67915,East,78723
609427,30.2452,-97.76084,South Central,78704
609618,30.30086,-97.7152,East,78722
620532,30.29077,-97.71777,East,78722
622062,30.27634,-97.75923,Central,78703
622495,30.28727,-97.75225,Central,78705
628034,30.27215,-97.71917,East,78702
632659,30.28206,-97.71795,East,78722
636996,30.28445,-97.77043,Central,78703
637480,30.27933,-97.75131,Central,78703
644051,30.24972,-97.73887,South Central,78704
644773,30.34245,-97.86974,West,78733
644895,30.31027,-97.80007,West,78746
646358,30.24282,-97.76199,South Central,78704
646392,30.24453,-97.73892,South Central,78704
649833,30.27664,-97.7498,Central,78701
656290,30.27308,-97.74698,Central,78701
659787,30.25739,-97.72915,East,78702
660425,30.25118,-97.77234,South Central,78704
662226,30.33514,-97.72913,Central,78757
662245,30.26866,-97.75176,South Central,78704
664013,30.34929,-97.85596,West,78733
666423,30.24957,-97.77782,South Central,78704
666768,30.24924,-97.77802,South Central,78704
668208,30.25678,-97.78016,South Central,78704
668301,30.24649,-97.75696,South Central,78704
668873,30.23707,-97.74394,South Central,78704
669469,30.27084,-97.74143,Central,78701
669923,30.23904,-97.74569,South Central,78704
673379,30.22437,-97.81647,South,78745
675759,30.28074,-97.74381,Central,78701
676107,30.1539,-97.80285,South,78748
676959,30.15415,-97.80317,South,78748
676963,30.27057,-97.75414,South Central,78704
679736,30.27987,-97.7117,East,78702
681118,30.24985,-97.72164,East,78702
683558,30.27482,-97.79646,West,78746
685361,30.28005,-97.75493,Central,78703
685447,30.21002,-97.77059,South,78745
685448,30.21077,-97.77134,South,78745
685451,30.2084,-97.76878,South,78745
687495,30.24693,-97.87825,West,78735
687675,30.35037,-97.75921,West,78731
690984,30.26587,-97.73992,Central,78701
692058,30.2829,-97.71104,East,78722
692220,30.23628,-97.75248,South Central,78704
693890,30.24317,-97.74173,South Central,78704
698082,30.23784,-97.74409,South Central,78704
699018,30.31044,-97.75424,West,78731
699485,30.19454,-97.78279,South,78745
700855,30.27928,-97.76076,Central,78703
701032,30.24045,-97.74146,South Central,78704
701159,30.28116,-97.76067,Central,78703
701300,30.37253,-97.74474,North Suburbs,78759
701392,30.30051,-97.74043,Central,78705
701948,30.22995,-97.70847,South East,78741
702294,30.24811,-97.73927,South Central,78704
702474,30.2307,-97.76556,South Central,78704
702825,30.23601,-97.76213,South Central,78704
702970,30.29908,-97.78864,West,78746
704372,30.29352,-97.77608,Central,78703
704589,30.24439,-97.72929,South East,78741
704738,30.2567,-97.76774,South Central,78704
705858,30.24646,-97.74738,South Central,78704
706950,30.28251,-97.77571,Central,78703
710276,30.24186,-97.77858,South Central,78704
711149,30.39968,-97.91422,West,78734
714115,30.23501,-97.78033,South Central,78704
714922,30.24152,-97.76465,South Central,78704
715471,30.26435,-97.74016,Central,78701
716119,30.33496,-97.65115,North,78754
716894,30.25685,-97.76662,South Central,78704
717042,30.32156,-97.7517,West,78731
718098,30.26722,-97.75447,Central,78703
718929,30.27697,-97.76248,Central,78703
720315,30.24629,-97.72886,South East,78741
720369,30.29444,-97.70331,East,78723
723029,30.26133,-97.7179,East,78702
727593,30.29775,-97.78909,West,78746
727662,30.23895,-97.74518,South Central,78704
727715,30.3095,-97.75257,West,78731
727748,30.2952,-97.77236,Central,78703
728728,30.19596,-97.6953,South East,78744
729271,30.23923,-97.76319,South Central,78704
729337,30.23779,-97.79127,South Central,78704
731070,30.24347,-97.75295,South Central,78704
733203,30.2707,-97.72865,East,78702
734163,30.18754,-97.88884,South,78739
734488,30.27837,-97.70631,East,78702
735226,30.25244,-97.74407,South Central,78704
735659,30.32518,-97.97659,West,78738
735775,30.18757,-97.79019,South,78745
736279,30.41456,-97.72319,North Suburbs,78727
742593,30.31124,-97.73064,Central,78751
744442,30.22569,-97.74008,South East,78741
744480,30.22722,-97.74057,South East,78741
746317,30.25851,-97.76986,South Central,78704
747499,30.27875,-97.75517,Central,78703
750767,30.27573,-97.75487,Central,78703
750935,30.26947,-97.72772,East,78702
751847,30.3605,-97.7255,Central,78757
752739,30.26513,-97.71605,East,78702
755676,30.2562,-97.72457,East,78702
758675,30.24354,-97.74737,South Central,78704
758923,30.26395,-97.78869,West,78746
760036,30.26731,-97.74613,Central,78701
762400,30.27829,-97.75604,Central,78703
763084,30.29604,-97.77188,Central,78703
765117,30.21405,-97.81604,South,78745
765450,30.32168,-97.73784,Central,78756
771066,30.23567,-97.71267,South East,78741
771437,30.22356,-97.7843,South,78745
772452,30.2305,-97.73961,South East,78741
775375,30.32476,-97.77391,West,78731
776313,30.34368,-97.76246,West,78731
776649,30.24373,-97.74025,South Central,78704
776713,30.21224,-97.78449,South,78745
780224,30.26605,-97.74131,Central,78701
781716,30.24408,-97.76197,South Central,78704
783943,30.22564,-97.69151,South East,78741
785270,30.29087,-97.7017,East,78723
785769,30.24383,-97.74651,South Central,78704
785963,30.24778,-97.76287,South Central,78704
787463,30.22397,-97.68973,South East,78741
788073,30.26001,-97.69581,East,78702
789994,30.3253,-97.6814,Central,78752
790702,30.42097,-97.72825,North Suburbs,78727
799135,30.23401,-97.76499,South Central,78704
801521,30.23307,-97.76086,South Central,78704
811086,30.27485,-97.74969,Central,78701
813709,30.30212,-97.72901,Central,78751
814908,30.25243,-97.77387,South Central,78704
815310,30.31799,-97.71706,Central,78751
820139,30.28557,-97.72051,East,78722
825940,30.24015,-97.77633,South Central,78704
826750,30.4443,-97.82519,West,78726
830896,30.2429,-97.72577,South East,78741
842382,30.26392,-97.74009,Central,78701
846780,30.25262,-97.77083,South Central,78704
860402,30.27092,-97.74683,Central,78701
860792,30.26083,-97.76213,South Central,78704
864954,30.26607,-97.74292,Central,78701
867123,30.25093,-97.72231,East,78702
867806,30.33193,-97.74269,Central,78756
868560,30.25548,-97.7317,East,78702
878464,30.27651,-97.71919,East,78702
878475,30.25761,-97.72863,East,78702
879070,30.32056,-97.7495,West,78731
880568,30.33973,-97.71057,Central,78752
882057,30.25714,-97.7569,South Central,78704
883802,30.27204,-97.72384,East,78702
883970,30.24575,-97.748,South Central,78704
887228,30.25051,-97.77129,South Central,78704
890163,30.25326,-97.72617,East,78702
890188,30.2601,-97.76518,South Central,78704
890680,30.25266,-97.78441,South Central,78704
892124,30.24617,-97.76967,South Central,78704
893630,30.25268,-97.72162,East,78702
894743,30.23429,-97.75383,South Central,78704
895352,30.28087,-97.70546,East,78702
899946,30.26648,-97.71475,East,78702
904033,30.27512,-97.71497,East,78702
904354,30.26069,-97.72331,East,78702
908424,30.24684,-97.7446,South Central,78704
910250,30.2612,-97.76586,South Central,78704
910957,30.29938,-97.74284,Central,78705
911955,30.25163,-97.76862,South Central,78704
912847,30.2646,-97.74006,Central,78701
915082,30.23855,-97.75454,South Central,78704
915150,30.2672,-97.71609,East,78702
916328,30.23936,-97.78139,South Central,78704
917823,30.36243,-97.71927,Central,78757
917932,30.26595,-97.74144,Central,78701
917990,30.25618,-97.75623,South Central,78704
918204,30.2358,-97.77793,South Central,78704
918416,30.31505,-97.73248,Central,78705
918617,30.39472,-97.66879,North,78753
919389,30.25222,-97.71364,East,78702
920034,30.29928,-97.73025,Central,78751
920038,30.30048,-97.73025,Central,78751
923138,30.31635,-97.68109,East,78723
925342,30.28843,-97.7315,Central,78705
925943,30.37743,-97.68401,North,78753
925980,30.2253,-97.86655,South,78749
926034,30.34527,-97.79186,West,78746
926804,30.23988,-97.7335,South East,78741
927670,30.23972,-97.76318,South Central,78704
929579,30.27617,-97.76189,Central,78703
929942,30.37287,-97.70829,North,78758
929974,30.23421,-97.78471,South Central,78704
931667,30.24605,-97.74351,South Central,78704
933868,30.24494,-97.74004,South Central,78704
934074,30.30295,-97.72932,Central,78751
934471,30.27494,-97.75043,Central,78703
936349,30.45617,-97.75695,North Suburbs,78729
936496,30.20821,-97.77038,South,78745
937157,30.24315,-97.73452,South East,78741
937801,30.23592,-97.78528,South Central,78704
937923,30.20087,-97.7533,South East,78744
938175,30.27298,-97.68791,East,78721
939240,30.32077,-97.72199,Central,78752
940168,30.26512,-97.73872,Central,78701
942357,30.25389,-97.72557,East,78702
942588,30.19707,-97.80803,South,78745
942643,30.22439,-97.8773,South,78749
942734,30.27886,-97.75973,Central,78703
942843,30.38086,-97.67032,North,78753
942883,30.29943,-97.73549,Central,78705
942976,30.29399,-97.71746,East,78722
943528,30.26609,-97.74175,Central,78701
945590,30.27986,-97.79904,West,78746
945803,30.2095,-97.76914,South,78745
945830,30.29115,-97.71075,East,78722
946813,30.31371,-97.69227,East,78723
947392,30.3661,-97.73556,Central,78757
947412,30.20038,-97.79538,South,78745
947423,30.25977,-97.69713,East,78702
947632,30.26685,-97.74268,Central,78701
947863,30.24843,-97.78449,South Central,78704
948810,30.27545,-97.75,Central,78701
949054,30.26663,-97.74131,Central,78701
951272,30.28086,-97.74529,Central,78701
953345,30.2237,-97.68995,South East,78741
953608,30.15948,-97.84542,South,78748
954116,30.24366,-97.73849,South Central,78704
955519,30.2086,-97.76882,South,78745
955612,30.21901,-97.72916,South East,78741
956708,30.30832,-97.72961,Central,78751
957282,30.26009,-97.77848,South Central,78704
957405,30.32112,-97.8298,West,78746
958172,30.25461,-97.7218,East,78702
958198,30.17592,-97.80361,South,78748
958210,30.2523,-97.72553,East,78702
958744,30.33282,-97.70921,Central,78752
959630,30.25447,-97.76803,South Central,78704
960315,30.32493,-97.71633,Central,78752
960376,30.27298,-97.71074,East,78702
960435,30.23469,-97.89949,West,78736
961883,30.26993,-97.74358,Central,78701
962704,30.23218,-97.69227,South East,78741
964420,30.21426,-97.84239,South,78749
964847,30.25821,-97.79283,West,78746
965572,30.22653,-97.86882,South,78749
966284,30.26802,-97.75447,Central,78703
966550,30.2731,-97.71986,East,78702
967091,30.31856,-97.71961,Central,78751
968725,30.23405,-97.74964,South Central,78704
968760,30.20869,-97.77054,South,78745
968817,30.21003,-97.7694,South,78745
968883,30.24645,-97.73831,South Central,78704
969258,30.2536,-97.77836,South Central,78704
969561,30.32584,-97.76619,West,78731
969565,30.27304,-97.7534,Central,78703
971055,30.29468,-97.73941,Central,78705
972440,30.38649,-97.66275,North,78753
973313,30.24095,-97.73029,South East,78741
973664,30.24415,-97.74386,South Central,78704
975093,30.24423,-97.74777,South Central,78704
977492,30.25212,-97.72379,East,78702
978089,30.28573,-97.72013,East,78722
978566,30.22915,-97.7647,South Central,78704
978680,30.31618,-97.79989,West,78746
979747,30.23054,-97.85175,South,78749
980203,30.26278,-97.71601,East,78702
980424,30.25808,-97.72577,East,78702
980785,30.28408,-97.74417,Central,78705
981020,30.29654,-97.86288,West,78735
981601,30.30631,-97.7329,Central,78751
983864,30.26513,-97.74246,Central,78701
985426,30.27468,-97.70331,East,78702
986136,30.22577,-97.75327,South Central,78704
987113,30.24604,-97.77,South Central,78704
987948,30.26125,-97.735,East,78702
987954,30.26461,-97.72974,East,78702
988173,30.20867,-97.77081,South,78745
996332,30.24967,-97.75594,South Central,78704
996478,30.27367,-97.71954,East,78702
999823,30.24802,-97.75141,South Central,78704
1007322,30.26515,-97.74001,Central,78701
1008703,30.2108,-97.81143,South,78745
1009806,30.26578,-97.74079,Central,78701
1013523,30.26609,-97.74282,Central,78701
1021139,30.29087,-97.71895,East,78722
1024597,30.27045,-97.74747,Central,78701
1024819,30.30107,-97.74039,Central,78705
1034604,30.26268,-97.77688,South Central,78704
1042961,30.22205,-97.72255,South East,78741
1046422,30.26513,-97.74144,Central,78701
1048859,30.22493,-97.74014,South East,78741
1049106,30.25848,-97.75949,South Central,78704
1059128,30.32896,-97.68712,Central,78752
1074064,30.48869,-97.77277,North Suburbs,78717
1079379,30.24263,-97.77153,South Central,78704
1080704,30.28,-97.74403,Central,78701
1080879,30.24573,-97.77192,South Central,78704
1086338,30.24411,-97.72525,South East,78741
1109489,30.30537,-97.69642,East,78723
1117880,30.15597,-97.80339,South,78748
1125837,30.27636,-97.75888,Central,78703
1126920,30.24345,-97.75602,South Central,78704
1135629,30.25948,-97.73205,East,78702
1141445,30.27442,-97.70428,East,78702
1143126,30.29418,-97.7348,Central,78705
1143385,30.23072,-97.78355,South Central,78704
1148536,30.2557,-97.73613,East,78702
1157268,30.26428,-97.7399,Central,78701
1157317,30.26432,-97.74107,Central,78701
1162922,30.26592,-97.74216,Central,78701
1165854,30.25642,-97.75579,South Central,78704
1182544,30.32733,-97.75976,West,78731
1195493,30.2767,-97.71876,East,
1197928,30.21728,-97.79814,South,78745
1206474,30.29266,-97.71242,East,78722
1213690,30.25869,-97.72265,East,78702
1232107,30.38039,-97.96191,West,78734
1233342,30.25634,-97.75451,South Central,78704
1236371,30.25096,-97.76978,South Central,78704
1242559,30.32085,-97.74909,West,78731
1248702,30.31499,-97.73979,Central,78756
1255816,30.24304,-97.74149,South Central,78704
1264454,30.26256,-97.80625,West,78746
1265154,30.27846,-97.71505,East,78702
1267100,30.2504,-97.76793,South Central,78704
1278532,30.2557,-97.72447,East,78702
1283113,30.26645,-97.73816,Central,78701
1287283,30.37432,-97.77602,West,78731
1296548,30.2916,-97.68569,East,78723
1305257,30.24501,-97.76073,South Central,78704
1305261,30.24676,-97.76142,South Central,78704
1317291,30.25279,-97.71782,East,78702
1321453,30.2281,-97.72656,South East,78741
1327668,30.33855,-97.74428,Central,78757
1342654,30.26035,-97.75322,South Central,78704
1343707,30.31268,-97.80034,West,78746
1347317,30.26033,-97.7134,East,78702
1349780,30.25314,-97.83253,West,78735
1369433,30.25751,-97.76552,South Central,78704
1388265,30.33674,-97.74377,Central,78757
1391406,30.21993,-97.7247,South East,78741
1397983,30.25001,-97.79314,South Central,78704
1398635,30.30037,-97.74338,Central,78705
1401705,30.32581,-97.68252,Central,78752
1425971,30.2455,-97.73573,South Central,78704
1428582,30.26534,-97.73108,East,78702
1456594,30.26583,-97.74124,Central,78701
1458379,30.25024,-97.76842,South Central,78704
1461266,30.30226,-97.72869,Central,78751
1462311,30.24705,-97.75555,South Central,78704
1462557,30.34135,-97.74461,Central,78757
1466245,30.226,-97.76374,South Central,78704
1484462,30.25231,-97.77757,South Central,78704
1499714,30.2602,-97.73269,East,78702
1502213,30.22718,-97.76455,South Central,78704
1507941,30.28688,-97.71465,East,78722
1511053,30.30047,-97.73676,Central,78705
1520504,30.24392,-97.78608,South Central,78704
1520607,30.22534,-97.69402,South East,78741
1525103,30.24989,-97.77807,South Central,78704
1535250,30.32725,-97.73824,Central,78756
1542596,30.25664,-97.76578,South Central,78704
1542779,30.32783,-97.68323,Central,78752
1551163,30.25164,-97.71512,East,78702
1570491,30.2649,-97.74244,Central,78701
1574481,30.2552,-97.73587,East,78702
1576290,30.18933,-97.82398,South,78745
1577342,30.27977,-97.71377,East,78702
1578787,30.27533,-97.72979,East,78702
1579405,30.28135,-97.70884,East,78702
1586879,30.23821,-97.78667,South Central,78704
1588655,30.22512,-97.80709,South,78745
1592065,30.24758,-97.76276,South Central,78704
1593451,30.24736,-97.77576,South Central,78704
1593744,30.24808,-97.77569,South Central,78704
1594441,30.28738,-97.7248,Central,78705
1596096,30.24672,-97.74875,South Central,78704
1599035,30.23937,-97.75721,South Central,78704
1608290,30.25197,-97.77051,South Central,78704
1608994,30.30222,-97.7287,Central,78751
1612438,30.25143,-97.75016,South Central,78704
1618754,30.36539,-97.75179,North Suburbs,78759
1622688,30.30336,-97.71275,East,78722
1623007,30.2592,-97.73446,East,78702
1623582,30.34246,-97.73028,Central,78757
1627417,30.30878,-97.98471,West,78738
1635453,30.21933,-97.7743,South,78745
1640231,30.25394,-97.71689,East,78702
1640348,30.26234,-97.71451,East,78702
1641751,30.24329,-97.7657,South Central,78704
1645518,30.21277,-97.96575,South,78737
1646670,30.2812,-97.76822,Central,78703
1649463,30.27879,-97.80062,West,78746
1654316,30.26849,-97.72394,East,78702
1659722,30.34087,-97.77288,West,78731
1664692,30.28869,-97.75762,Central,78703
1668169,30.27522,-97.75605,Central,78701
1668551,30.24102,-97.74939,South Central,78704
1672225,30.31907,-97.72064,Central,78751
1673142,30.27708,-97.7901,West,78746
1673168,30.23836,-97.76238,South Central,78704
1677516,30.37691,-97.91755,West,78734
1681072,30.25875,-97.77284,South Central,78704
1682835,30.25494,-97.77152,South Central,78704
1683574,30.3022,-97.72784,Central,78751
1683591,30.25246,-97.74823,South Central,78704
1698089,30.26904,-97.74701,Central,78701
1699415,30.25895,-97.77375,South Central,78704
1702743,30.28282,-97.70824,East,78722
1704436,30.24829,-97.74656,South Central,78704
